_id,title,release_year,movie_rating,summary,Up_System
0,Aliens vs. Predator: Requiem,2007,4.7,"Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.",CM
1,The Hills Have Eyes,2006,6.4,"A suburban American family is being stalked by a group of psychotic people who live in the desert, far away from civilization.",CM
2,Easy Rider,1969,7.4,"Through the open country and desert lands, two bikers head from L.A to New Orleans, and along the way, meet a man who bridges a counter-culture gap they are unaware of.",CM
3,Almost Christmas,2016,6.1,A dysfunctional family gathers together for their first Christmas since their mom died.,CM
4,"Oh, God!",1977,6.6,"When God appears to an assistant grocery manager as a good natured old man, the Almighty selects him as his messenger for the modern world.",CM
5,The Hours,2002,7.6,"The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives.",CM
6,Cheech and Chong's Next Movie,1980,6.1,"The two stoners and their friends go through another series of crazy, drug-influenced misadventures.",CM
7,Starting Over,1979,6.5,"A divorced man falls in love, but somehow he can't get over his ex-wife. This affects his love life in comic ways. Based on Dan Wakefield's novel.",CM
8,Ronin,1998,7.3,A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.,CM
9,Orphan,2009,7.0,A husband and wife who recently lost their baby adopt a 9 year-old girl who is not nearly as innocent as she claims to be.,CM
10,Bandits,2001,6.5,Two bank robbers fall in love with the girl they've kidnapped.,CM
11,High Crimes,2002,6.4,"High powered lawyer Claire Kubik finds her world turned upside down when her husband, who has been living under a false name, is arrested by military police and placed on trial for the murder of villagers while he was in the Marines.",CM
12,Three Days of the Condor,1975,7.5,"A bookish CIA researcher finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust.",CM
13,Gremlins 2: The New Batch,1990,6.4,"The Gremlins are back, and this time, they've taken control of a New York City media mogul's high-tech skyscraper.",CM
14,The Great Outdoors,1988,6.6,A Chicago man's hope for a peaceful family vacation in the woods is shattered when the annoying in-laws drop in.,CM
15,Pale Rider,1985,7.3,A mysterious preacher protects a humble prospector village from a greedy mining company trying to encroach on their land.,CM
16,Secondhand Lions,2003,7.6,"A coming-of-age story about a shy, young boy sent by his irresponsible mother to spend the summer with his wealthy, eccentric uncles in Texas.",CM
17,About a Boy,2002,7.1,"A cynical, immature young man is taught how to act like a grown-up by a little boy.",CM
18,Peggy Sue Got Married,1986,6.3,"Peggy Sue faints at a high school reunion. When she wakes up, she finds herself in her own past, just before she finished school.",CM
19,Gosford Park,2001,7.3,The lives of upstairs guests and downstairs servants at a party in 1932 in a country house in England as they investigate a murder involving one of them.,CM
20,Tequila Sunrise,1988,6.0,"A former L.A. drug dealer tries to go straight but his past and his underworld connections bring him into the focus of the DEA, the Mexican feds and the Mexican drug cartels.",CM
21,The Peacemaker,1997,5.9,A US Army colonel and a civilian woman supervising him must track down stolen Russian nuclear weapons before they're used by terrorists.,CM
22,The Mirror Has Two Faces,1996,6.5,"A shy, middle-aged professor enters into a romantic but non-physical relationship with an unlucky-in-love colleague.",CM
23,A Walk to Remember,2002,7.4,"The story of two North Carolina teens, Landon Carter and Jamie Sullivan, who are thrown together after Landon gets into trouble and is made to do community service.",CM
24,Private Parts,1997,6.8,"The autobiographical story of Howard Stern, the radio rebel who is now also a TV personality, an author and a movie star.",CM
25,Valerian and the City of a Thousand Planets,2017,6.5,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.",CM
