A_id,B_id
1010,1534
1010,156
1016,1237
1031,503
1034,1313
1046,2602
1061,884
1067,541
1073,861
1091,2461
1100,2386
1136,829
1157,1183
1160,2901
1172,56
1178,2301
1184,845
1199,2103
1214,1458
1217,1115
1226,933
1235,281
1256,2328
1265,751
1286,809
1307,162
1319,993
1337,2079
1352,2384
1370,2158
1373,1133
1376,1101
1385,1990
1415,326
1433,2849
1448,333
1478,15
1481,25
1514,2210
1526,1802
1532,1665
1538,175
1544,2664
1559,1550
1562,16
1589,2346
1592,167
161,1845
1631,891
1688,3097
