id1,id2,matching_probability
1009,1645,1.0
1010,156,0.9
1016,1237,1.0
1017,2843,1.0
1018,607,1.0
1021,1535,1.0
1023,1946,0.9
1031,503,1.0
1032,2621,1.0
1033,2201,0.8
1034,1313,1.0
1035,2562,1.0
1038,771,1.0
1039,915,1.0
1044,2144,1.0
1046,2602,1.0
1047,1290,0.9
1053,601,1.0
1061,884,1.0
1062,405,1.0
1067,541,1.0
1073,861,1.0
1080,2895,1.0
1089,2441,1.0
1090,2991,1.0
1091,2461,1.0
1092,1986,1.0
110,321,1.0
1100,2386,1.0
1107,2995,0.9
1110,2004,1.0
1117,584,1.0
1119,97,1.0
112,2865,1.0
1122,1212,0.9
1126,56,0.9
1136,829,1.0
1140,1990,0.9
1144,1686,1.0
1146,1721,1.0
1157,1183,1.0
1160,2901,1.0
1172,56,1.0
1173,334,1.0
1178,2301,1.0
1184,845,0.9
1185,1773,0.9
1195,2007,0.9
1197,1754,1.0
1198,2956,1.0
1199,2103,1.0
1204,2028,1.0
1212,176,1.0
1213,361,1.0
1214,1458,1.0
1217,1115,0.9
1222,2381,1.0
1226,933,0.9
1235,281,1.0
1246,1245,0.9
1254,1446,0.9
1256,2328,0.9
1263,2207,0.9
1265,751,1.0
1282,861,1.0
1286,809,1.0
1288,1137,0.9
1307,162,1.0
1319,993,1.0
1327,29,1.0
1337,2079,1.0
1343,1174,1.0
1345,2768,0.9
1350,1582,0.9
1352,2384,1.0
1360,2836,1.0
1362,1623,0.9
1370,2158,1.0
1373,1133,1.0
1376,1101,1.0
1378,332,1.0
1385,1990,0.9
1393,1637,1.0
1398,183,1.0
1411,1953,1.0
1415,326,1.0
1433,2849,1.0
1446,1040,0.9
1448,333,1.0
145,877,0.9
1452,2619,1.0
1468,2700,0.7
1471,2826,0.9
1473,2108,1.0
1474,2880,1.0
1476,1194,1.0
1478,15,1.0
1481,25,1.0
1483,555,1.0
1492,1035,1.0
1504,1524,1.0
151,1283,1.0
1512,2338,1.0
1513,1959,1.0
1514,2210,1.0
1516,3046,1.0
1526,1802,0.9
1532,1665,1.0
1533,1312,1.0
1538,175,1.0
1543,2781,1.0
1544,2664,1.0
1545,2509,1.0
1555,2943,0.9
1559,1550,0.9
1562,16,1.0
1581,844,1.0
1587,2581,1.0
1589,2346,1.0
1592,167,1.0
1596,1873,1.0
1603,2366,0.9
1608,1525,1.0
161,1845,1.0
1611,2427,1.0
162,2511,1.0
1621,2649,1.0
1626,572,1.0
163,2837,0.9
1631,891,1.0
1642,995,1.0
1659,155,1.0
1681,1881,1.0
1688,3097,1.0
170,1193,1.0
1706,43,1.0
1709,2811,0.9
1713,3056,1.0
1717,41,1.0
1722,197,1.0
1722,2360,1.0
1740,2020,1.0
1751,1851,1.0
1752,1437,1.0
1761,836,1.0
1764,1070,1.0
1773,2899,1.0
1777,549,1.0
1788,429,1.0
1792,2821,1.0
1797,37,1.0
1799,2321,1.0
18,710,1.0
1801,1435,1.0
1801,2399,1.0
1808,1187,1.0
1811,2062,1.0
1812,3045,1.0
1815,1681,0.7
1833,2070,1.0
1841,1464,1.0
1857,2013,1.0
1885,2911,1.0
1887,1653,1.0
1888,883,1.0
1894,2127,1.0
19,2987,1.0
1903,1134,1.0
1907,406,0.9
1920,2053,0.9
1922,1361,1.0
1935,2802,1.0
1946,2974,1.0
1958,3043,0.9
1967,1871,0.9
1978,441,1.0
1995,2871,1.0
2,312,1.0
200,143,0.9
2000,2345,1.0
2001,699,0.9
2004,2388,1.0
2005,2218,1.0
2006,2352,1.0
2008,2711,1.0
2019,442,1.0
202,206,1.0
2024,833,1.0
2025,1072,0.9
2027,2183,1.0
2029,2255,1.0
2038,1036,1.0
2039,785,0.9
2042,814,1.0
2043,952,0.9
2044,2444,1.0
2052,1263,1.0
2058,531,1.0
2064,2736,1.0
2071,2808,1.0
2078,2492,1.0
2085,919,0.9
2093,1069,1.0
2101,2155,1.0
2103,225,1.0
2104,2684,1.0
2119,2806,1.0
212,461,0.9
2124,2039,0.9
2134,2311,1.0
2140,33,0.9
2147,2367,0.9
2155,1648,1.0
2158,261,1.0
216,2313,1.0
2164,2835,1.0
2176,50,1.0
2178,282,0.9
2180,2105,1.0
2184,199,1.0
2185,2515,0.6
2194,28,1.0
221,2051,1.0
2213,1121,1.0
2215,280,1.0
